,party,text,label
44,gruene,"gesehen, wie viel Unsicherheit entsteht, wenn man nur auf Sicht fährt,",404.0
45,gruene,und wie notwendig eine Politik mit Weitblick und für Frieden ist.,106.0
46,gruene,"Je besser wir vorsorgen, je widerstandsfähiger wir werden, je besser wir schützen, umso freier können wir leben.",201.1
47,gruene,Als Gesellschaft haben wir den Schlüssel für so vieles schon in der Hand.,606.1
48,gruene,"Wir wissen, wie man eine Industriegesellschaft sicher ins Zeitalter der Klimaneutralität führt.",501.0
49,gruene,"Wie man dafür den Kohleausstieg beschleunigt und Versorgungssicherheit gewährleistet,",416.2
50,gruene,wie viel mehr Strom aus Wind und Sonne gewonnen werden kann,416.2
51,gruene,und der Naturschutz gestärkt wird.,501.0
52,gruene,"Wir wissen, wie man eine sozial-ökologische Marktwirtschaft entwickelt, die zukunftsfähige Jobs, sozialen Schutz und fairen Wettbewerb in Deutschland und Europa zusammenbringt,",403.0
53,gruene,wie man der Globalisierung klare Regeln setzt und multinationale Konzerne angemessen besteuert.,403.0
54,gruene,"Wir wissen, wie wir in eine starke Gesundheitsversorgung",504.0
55,gruene,"und eine moderne Infrastruktur,",411.0
56,gruene,"Wir wissen, wie wir in eine starke Gesundheitsversorgung",504.0
57,gruene,"und eine moderne Infrastruktur,",411.0
58,gruene,"in gute Schulen und öffentliche Räume,",506.0
59,gruene,in einen gut funktionierenden und bürger*innennahen Staat investieren können.,303.0
60,gruene,"Es ist möglich, Ungleichheit zu verringern,",503.0
61,gruene,"gleichwertige Lebensverhältnisse auf dem Dorf, in der Kleinstadt und in der Metropole herzustellen",503.0
62,gruene,und Kinder ins Zentrum zu rücken.,503.0
63,gruene,Wir können eine volle Gleichberechtigung der Geschlechter erreichen,503.0
64,gruene,und eine vielfältige Einwanderungsgesellschaft gestalten.,607.2
65,gruene,"Wir sind in der Lage und fest entschlossen, Europa als Wertegemeinschaft demokratisch zu stärken und im globalen Systemwettbewerb gerechter und handlungsfähiger zu machen.",108.0
66,gruene,"Das lässt sich mit internationaler Solidarität meistern und wenn wir unsere Art, zu leben und zu wirtschaften, so gestalten, dass wir Krisen an anderen Orten der Welt nicht verschärfen.",107.0
67,gruene,"Aber Worte allein reichen nicht, wir müssen es auch tun.",305.1
68,gruene,Jetzt ist die Zeit fürs Machen.,305.1
69,gruene,Reaktive Politik hat die letzten Jahre über versucht das Schlimmste zu verhindern.,305.1
70,gruene,"Aber es geht darum, das Beste zu ermöglichen.",305.1
71,gruene,"In kurzer Zeit eine klimaneutrale Gesellschaft zu werden, ist eine epochale Aufgabe mit inspirierender Kraft.",501.0
72,gruene,"Wir wollen einen Aufschwung schaffen, der über das rein Ökonomische hinausgeht.",416.2
73,gruene,"Einen Aufschwung, der das ganze gesellschaftliche Leben in seiner Stärke und Vielfalt erfasst: Bildung und Kultur, Arbeit und Digitalisierung, Wissenschaft und Innovation.",416.2
74,gruene,Dieses Programm ist dafür ein Anfang.,305.1
75,gruene,Es schlägt konkrete und ehrgeizige Projekte für politisches Handeln in einer Bundesregierung in den kommenden vier Jahren vor.,305.1
76,gruene,"Die Aufgaben sind groß, die Widerstände ebenfalls.",305.1
77,gruene,"Aber die letzten Jahre haben gezeigt, dass viele Menschen in der Gesellschaft der Politik weit voraus sind.",202.1
78,gruene,Lassen Sie uns also gemeinsam die politische Arbeit auf die Höhe der Zeit bringen.,202.1
79,gruene,"Wenn Sie, liebe Wähler*innen, uns das Mandat dafür erteilen und wir diese Projekte mit Ihnen Schritt für Schritt umsetzen dürfen, schaffen wir zusammen die Grundlagen für ein Jahrzehnt des mutigen Vorangehens, des Machens, des Gelingens.",202.1
80,gruene,Macht ist in einer Demokratie nur geliehen.,202.1
81,gruene,"Diese Leihgabe verpflichtet zu sauberer Politik – zu einer Politik, die das Wohl der Bürger*innen über das persönliche Interesse stellt, die Rechenschaft ablegt und sich selbst Grenzen setzt.",202.1
82,gruene,In diesem Sinne werden wir handeln.,202.1
84,gruene,"Nach einer Ära der politischen Kurzfristigkeit bringen wir den langen Atem, den klaren Kompass und die Durchsetzungsfähigkeit mit, um unser Land- im Herzen Europas, der Welt zugewandt- in eine bessere Zukunft zu führen.",305.1
85,gruene,"Ja, zu führen.",305.1
86,gruene,"Erstmals in der Geschichte der Bundesrepublik kämp­ fen wir, BÜNDNIS 90/DIE GRÜNEN, um die politische Führung in diesem Land, inhaltlich und personell.",305.1
87,gruene,Wir stehen auf einem festen Wertefundament und sind tief verwurzelt in der Gesellschaft.,305.1
88,gruene,Wir haben ein klares Ziel für dieses Jahrzehnt vor Augen: klimagerechten Wohlstand.,416.2
89,gruene,"Wir sind gewachsen und gestärkt durchs Regieren in Kommunen, Ländern und im Bund.",305.1
90,gruene,"Mit Erfahrung und Kompetenz, mit Herz und Weitblick, mit Zuversicht und Leidenschaft, offen und lernfähig, so gehen wir in dieses Jahrzehnt.",305.1
91,gruene,Das ist unser Angebot und so werben wir um Mehrheiten für die kommenden vier Jahre.,305.1
92,gruene,"Wir laden Sie ein, mit uns diesen Weg zu gehen.",305.1
94,gruene,Die Klimakrise ist die Existenzfrage unserer Zeit.,501.0
95,gruene,"Daher ist Klimaschutz keine Zukunftsaufgabe, sondern Klimaschutz ist jetzt.",501.0
96,gruene,"Wenn wir zu Beginn dieses Jahrzehnts konsequent handeln und die sozial-ökologische Transformation einläuten, können wir die Klimakatastrophe noch verhindern und zu einer klimagerechten Welt beitragen.",501.0
97,gruene,"Klimaneutralität ist dabei eine große Chance für höhere Lebensqualität,",501.0
98,gruene,mehr soziale Gerechtigkeit,503.0
99,gruene,und einen klimagerechten Wohlstand.,416.2
100,gruene,Sie gilt es zu ergreifen.,416.2
101,gruene,"Wir haben in den vergangenen Jahren mit Hitzesommern, Waldsterben, Überschwemmungen und Dürren die Klimakrise bereits zu spüren bekommen.",501.0
102,gruene,"Sie hat dramatische Konsequenzen bei uns und auf der ganzen Welt: etwa für die Gesundheit der Menschen – und es sind vor allem die mit den geringsten Einkommen und insbesondere die Menschen im globalen Süden, die den Preis dafür zahlen, dass der ökologische Fußabdruck der Reichsten am größten ist.",503.0
103,gruene,"Oder für die Bäuer*innen, denen zunehmend die Grundlage entzogen wird.",703.1
104,gruene,Und für den Zusammenhalt in unserer Gesellschaft.,606.1
105,gruene,"Alle diese Folgen werden sich vervielfachen, wenn wir jetzt nicht umsteuern.",501.0
106,gruene,"Je entschiedener wir handeln, desto mehr Freiheiten und Alternativen sichern wir für jetzige und künftige Generationen.",201.1
107,gruene,Wir werden deshalb konsequent den Weg zur Klimaneutralität gehen.,501.0
108,gruene,"Das verlangt Können, Mut und Machen.",501.0
109,gruene,Wir stellen in einer künftigen Regierung das Pariser Klimaabkommen in den Mittelpunkt und richten das Handeln aller Ministerien danach aus.,501.0
110,gruene,"Wir lenken all unsere Kraft darauf, Maßnahmen auf den Weg zu bringen, die uns auf den 1,5-Grad- Pfad führen.",501.0
111,gruene,Klimagerechtigkeit ist eine Frage des politischen Kanons.,503.0
112,gruene,"Wir begreifen es als unsere Aufgabe, bessere Regeln zu schaffen, nicht den besseren Menschen.",403.0
113,gruene,Solch klare politische Ordnungsrahmen entlasten auch uns als Menschen im Alltag und schaffen Freiheit.,403.0
114,gruene,"Natürlich bedeutet Klimaneutralität Veränderung, aber diese Veränderung schafft Halt in der Zukunft.",501.0
115,gruene,"Denn sie bewahrt uns davor, Kipppunkte zu überschreiten,",501.0
116,gruene,"und ermöglicht ein klimagerechtes, ein besseres Leben.",503.0
117,gruene,"Wir bringen deshalb Strom, Wärme, Verkehr und Industrie zusammen, beenden Energieverschwendung und sorgen so für eine effiziente Verzahnung dieser Bereiche.",416.2
118,gruene,"Statt auf Kohle, Öl und fossilem Gas wird das Energiesystem auf Sonnen- und Windenergie basieren.",416.2
119,gruene,"Statt an fossilen Verbrennungsmotoren festzuhalten, schaffen wir eine neue Mobilität mit der Bahn, dem Rad, zu Fuß oder mit emissionsfreien Autos.",416.2
120,gruene,Statt Öl und Erdgas wärmt uns künftig die Kraft der Erneuerbaren.,416.2
121,gruene,"Die Zukunft wird damit leiser, sauberer, gesünder, günstiger und sozial gerechter.",416.2
122,gruene,Weniger Autos in der Stadt bedeuten mehr Platz für uns Menschen.,411.0
123,gruene,"Leisere Straßen und saubere Luft dienen besonders jenen, die sich nicht die Villa am ruhigen Stadtrand leisten können.",503.0
124,gruene,"Mehr Angebote an klima- und umweltfreundlichen Verkehrsmitteln, zum Beispiel Rufbussen oder Carsharing, erleichtern zu pendeln und befördern ein gutes Leben auf dem Land.",411.0
125,gruene,"Mit dieser großen Veränderung entstehen neue Geschäftsfelder,",410.0
126,gruene,"neue Industriezweige,",410.0
127,gruene,neue Arbeitsplätze.,701.0
128,gruene,"Andere Bereiche werden sich wandeln, einige werden verschwinden.",701.0
129,gruene,"Für viele Menschen ist das auch eine große Herausforderung, ja Zumutung.",701.0
130,gruene,"Die sozial-ökologische Transformation gelingt nur, wenn wir gemeinsam alles dafür tun, Verluste zu verringern und Brücken zu bauen.",416.2
131,gruene,"So müssen diejenigen, die neue Chancen oder Weiterbildung brauchen, sie auch bekommen.",411.0
132,gruene,"Und es ist unsere Aufgabe, Sorge dafür zu tragen, dass die Kosten und Belastungen dieser Veränderung gerecht verteilt sind.",503.0
133,gruene,Klimagerechter Wohlstand bedeutet Ökologie und Soziales zusammenzudenken und den Übergang gut zu gestalten: für Menschen in der Stadt und auf dem Land.,416.2
134,gruene,Für die Handwerkerin wie für den Stahlarbeiter.,503.0
135,gruene,Der Verlust an intakter Natur und Umwelt ist ebenso dramatisch wie die Klimakrise und eine der größten Bedrohungen für ein gutes und gesundes Leben.,501.0
136,gruene,"Wenn wir unsere Lebensgrundlagen schützen wollen, wenn wir auch die zweite große ökologische Krise, das Artensterben, eindämmen wollen, dann bedarf es mehr als einer Kurskorrektur, dann brauchen wir einen neuen Kurs.",501.0
137,gruene,Wir machen die planetaren Grenzen zum Leitprinzip unserer Politik,416.2
138,gruene,und tragen so auch zu mehr Umweltgerechtigkeit bei.,503.0
139,gruene,"Entsprechend verändern wir die Wirtschaftsweise, denn auf einem endlichen Planeten kann es kein unendliches Wachstum geben.",416.1
140,gruene,Wir setzen Prioritäten.,416.2
141,gruene,"Von jetzt an wird belohnt und gefördert, was Mensch und Tier, Klima und Natur schützt.",501.0
142,gruene,"Und was zerstörerisch wirkt, muss dafür auch die Kosten tragen und so schnell wie möglich überwunden werden.",501.0
143,gruene,"Indem wir den Schutz der Meere und Gewässer, des Klimas und der Böden, der Tiere und der Pflanzen zum Bestandteil unseres Wirtschafts- und Rechtssystems machen, kann es gelingen, die Stabilität der Ökosysteme und unserer Lebensgrundlagen zu gewährleisten.",501.0
144,gruene,Und damit auch unsere Grundlagen für ein gutes und friedliches Zusammenleben.,606.1
147,gruene,"Der Weg in die Klimaneutralität bietet riesige Chancen auf mehr Lebensqualität: Städte mit weniger Staus und Abgasen, mit Platz, um sicher Rad zu fahren und zu Fuß zu gehen, zu spielen und zu leben.",501.0
148,gruene,"Dörfer, die endlich angebunden sind an den öffentlichen Nahverkehr.",411.0
149,gruene,"Wälder, in denen auch unsere Kinder noch die Schönheit der Natur entdecken können.",501.0
150,gruene,"Gesundes Essen, hergestellt unter Wahrung von Tierrechten und Umweltschutz.",501.0
151,gruene,"Klimaschutz ist so viel mehr als reine Technik, er ist die Voraussetzung für ein gesundes Leben auf einer gesunden Erde.",501.0
153,gruene,Klimaneutralität heißt: raus aus den fossilen Energien.,416.2
154,gruene,"Nicht nur der Strom, auch das Benzin in unseren Autos, das Kerosin im Flugzeugtank, das Schweröl im Schiff, das Öl für die Heizung und das Gas im Industriebetrieb müssen auf erneuerbare Energien umgestellt werden.",416.2
155,gruene,Das ist nichts weniger als eine Energierevolution.,416.2
156,gruene,"Dazu braucht es zuallererst eine massive Ausbauoffensive für die Erneuerbaren, die so schnell wie möglich umgesetzt wird.",416.2
157,gruene,Daran hängen die Zukunft unseres Industriestandortes und unsere Versorgungssicherheit.,416.2
158,gruene,"Der Ausbaupfad wird durch die Kraft und Kapazität von Industrie und Handwerker*innen beschränkt, darf aber nicht von den politischen Rahmenbedingungen begrenzt werden.",401.0
159,gruene,Daher beseitigen wir in einem kontinuierlichen Prozess bestehende Ausbauhemmnisse – naturverträglich und zugunsten der Bürger*innen.,401.0
160,gruene,"Unser Ziel ist ab sofort ein jährlicher Zubau von mindestens 5 bis 6 Gigawatt (GW) Wind an Land, ab Mitte der 20er Jahre von 7 bis 8 GW, bei Wind auf See wollen wir 35 GW bis 2035.",416.2
161,gruene,Im Bereich Solarenergie werden wir den Ausbau von beginnend 10 bis 12 GW auf 18 bis 20 GW pro Jahr steigern ab Mitte der 20er.,416.2
162,gruene,"Mit einer umfassenden Steuer- und Abgabenreform wollen wir dafür sorgen, dass die Sektorenkoppelung vorankommt",416.2
163,gruene,und Strom zu verlässlichen und wettbewerbsfähigen Preisen vorhanden ist.,403.0
164,gruene,"Das Energiemarktdesign ändern wir, sodass erneuerbarer Strom nicht länger ausgebremst wird.",416.2
165,gruene,"Wir stellen Sonne und Wind ins Zentrum und ermöglichen es Industrie, Gewerbe und Handel, über flexibleren Verbrauch besonders viel zur Integration der Erneuerbaren beizutragen.",416.2
166,gruene,Erzeugungsspitzen machen wir nach dem Prinzip „nutzen statt abschalten“ für Speicher und die Produktion von Wärme oder grünem Wasserstoff nutzbar.,416.2
167,gruene,Doppelte Belastungen und andere Bremsklötze schaffen wir ab.,416.2
168,gruene,Kritische Infrastrukturen sichern wir mit notstromfähigen Solaranlagen.,411.0
169,gruene,"Verteilnetze und Verbraucher*innen statten wir mit intelligenter Technik aus, damit sie flexibel reagieren können, wenn gerade viel erneuerbarer Strom produziert wird.",403.0
171,gruene,"Auch in einer Welt der Erneuerbaren ist Energie ein wertvolles Gut, mit dem wir sparsam und effizient umgehen müssen.",416.2
172,gruene,"Das gilt umso mehr, solange wir noch Kohle, Öl und fossiles Gas verbrennen.",416.2
173,gruene,"Unser Ziel sind Gebäude, die gut gedämmt sind, verbrauchsarme Autos, auch wenn sie elektrisch betrieben werden, effiziente Gewerbe- und Industrieprozesse sowie Weitergabe und Nutzung von Abwärme.",416.2
174,gruene,Dafür machen wir klare ordnungsrechtliche Vorgaben.,403.0
175,gruene,"Strompreisvergünstigungen für Unternehmen, die im internationalen Wettbewerb stehen, sollen an die Umsetzung von Energieeffizienzmaßnahmen geknüpft werden.",416.2
176,gruene,"Denn je weniger Energie benötigt wird, desto schneller schaffen wir 100 Prozent Erneuerbare, erreichen die Klimaziele und sparen Kosten für Energieinfrastruktur.",416.2
177,gruene,Klimaschutz lohnt sich.,501.0
179,gruene,Wir müssen unsere Wirtschaft auf Klimaneutralität und die planetaren Grenzen ausrichten und eine Kreislaufwirtschaft etablieren.,416.2
180,gruene,Den wirtschaftlichen Aufbruch nach der Corona-Krise und die ökologische Modernisierung wollen wir zusammenbringen.,416.2
181,gruene,Dazu braucht es eine sozialökologische Neubegründung unserer Marktwirtschaft.,416.2
182,gruene,"Wir wollen mit ehrgeizigen Vorgaben in Form von Grenzwerten, CO2-Reduktionszielen und Produktstandards der deutschen und europäischen Wirtschaft Planungssicherheit geben",403.0
183,gruene,und Impulse für neue Investitionen setzen.,411.0
184,gruene,"Faire Preise sorgen dafür, dass sich klimagerechtes Handeln lohnt.",503.0
185,gruene,Forschung und Innovationen für klimagerechtes Wirtschaften wollen wir stärker fördern.,411.0
186,gruene,Die öffentliche Beschaffung richten wir konsequent auf die ressourcenschonendsten und sozial verträglichsten Produkte und Dienstleistungen aus.,416.2
187,gruene,So machen wir unsere Wirtschaft zur Spitzenreiterin bei den modernsten Technologien,410.0
188,gruene,und schützen unsere natürlichen Lebensgrundlagen.,501.0
190,gruene,"Ob vernetzte Fahrzeuge, effiziente Industrie, punktgenaue Verteilung regenerativer Energie oder intelligente Bewässerung auf Feldern: Mit digitalen und datengetriebenen Innovationen können wir den Energie- und Ressourcenverbrauch besser reduzieren",416.2
191,gruene,und bei Zukunftstechnologien führend werden.,411.0
192,gruene,"Hierzu fördern und priorisieren wir digitale Anwendungen und Lösungen, die einen Beitrag zur Ressourcenschonung leisten oder nachhaltiger sind als analoge.",416.2
193,gruene,"Rebound-Effekte gilt es generell zu vermeiden, Suffizienz zu unterstützen.",416.2
194,gruene,Wir fördern Alternativen zu kritischen Rohstoffen wie seltene Erden,416.2
195,gruene,und deren menschenrechtskonforme Gewinnung.,201.2
196,gruene,"Ausschreibungs- und Beschaffungskriterien sind so anzupassen, dass möglichst sozial-ökologisch nachhaltige Technologien vorrangig zum Einsatz kommen.",416.2
197,gruene,"Bei IT-Beschaffungen des Bundes müssen Faktoren wie Herstellerabhängigkeit, Folgebeschaffung, technische Offenheit, Sicherheit, Datenschutz, Reparaturfähigkeit, Nachhaltigkeit und soziale Kriterien zwingend in die Bewertungen einfließen und Zertifizierungen wie der Blaue Engel für IT-Produkte zum Standard werden.",411.0
198,gruene,"Wir wollen alle Rechen- und Datencenter des Bundes nachhaltig umstellen, mit erneuerbarer Energie betreiben und zertifizierte umweltfreundliche Hardware einsetzen.",416.2
199,gruene,"Zugleich gilt es, Anreize zu schaffen, um den Stromverbrauch von Rechenzentren zu reduzieren, einschließlich Umstellung auf Wasserkühlungssysteme, und CO2-neutrale Rechenzentren zu fördern.",416.2
201,gruene,"Eine ambitionierte Klimaschutzpolitik und der klimaneutrale Umbau der Wirtschaft sind die beste Chance, bestehende Arbeitsplätze in Deutschland und anderen Ländern zu erhalten und neue zu schaffen.",701.0
202,gruene,Die sozial-ökologische Modernisierung stärkt die Wettbewerbsfähigkeit der hiesigen Unternehmen,402.0
203,gruene,und kann zu einer Renaissance von Industriearbeitsplätzen führen.,701.0
204,gruene,Auf dem Weg zur Klimaneutralität werden in den kommenden Jahren hunderttausende neue Jobs entstehen – Green Jobs.,701.0
205,gruene,"Sie entstehen im Handwerk und in der Bauwirtschaft, in neuen Industriebereichen und der Kreislaufwirtschaft, in der Batteriezellenproduktion und der Wasserstoffindustrie sowie in neuen Dienstleistungsfeldern.",701.0
206,gruene,"Wir wollen, dass die neuen Jobs nach Möglichkeit einem Tarifvertrag oder mindestens gleichwertigen Bedingungen unterliegen.",701.0
207,gruene,Darauf werden wir auch bei der Förderung von neuen Wirtschaftsfeldern achten.,701.0
209,gruene,"Wir sehen es als unsere Verpflichtung, Unternehmen und ihre Beschäftigten auf dem Weg hin zu einem klimaneutralen Wirtschaftssystem zu unterstützen.",416.2
210,gruene,"Gerade auch dort, wo sich Jobprofile grundlegend verändern oder Arbeitsplätze verloren gehen.",701.0
211,gruene,Es braucht in der ökologischen Transformation ein noch viel besseres Angebot an Weiterbildung und Qualifizierung.,411.0
212,gruene,Dazu wollen wir ein Recht auf Weiterbildung einführen,411.0
213,gruene,und mit einem Weiterbildungsgeld auch für Erwerbstätige in Qualifizierungsphasen eine soziale Absicherung schaffen.,504.0
214,gruene,"Mit einem neuen Qualifizierungs-Kurzarbeitergeld ermöglichen wir Unternehmen, in Phasen der Transformation ihre Beschäftigten im Betrieb zu halten und nachhaltig zu qualifizieren.",701.0
215,gruene,Die Qualifizierungs-Kurzarbeit koppeln wir eng an die Sozialpartnerschaft.,405.0
216,gruene,Zudem wollen wir die betriebliche Mitbestimmung bei Entscheidungen über die ökologische Transformation stärken.,701.0
217,gruene,"Unternehmen, Gewerkschaften und Betriebsräte wissen gemeinsam am besten, wie die Transformation zu gestalten ist.",405.0
219,gruene,Die ökologische Modernisierung ist gerade für viele industriell geprägte Regionen eine große Herausforderung.,501.0
220,gruene,"Um Regionen und insbesondere die dort ansässigen kleinen und mittleren Unternehmen zu unterstützen, wollen wir regionale Transformationsfonds auflegen.",402.0
221,gruene,"Die Förderung richtet sich an Unternehmen, die aus eigener Kraft den ökologischen Strukturwandel nicht bewältigen können, mit ihrem Standort aber fest in der Region verankert sind und dort bleiben wollen.",402.0
222,gruene,"Regionale Akteur*innen aus Wissenschaft, Politik, Wirtschaft und Gewerkschaften sollen eingebunden werden und gemeinsame Visionen erarbeiten, wo die Region sozial und wirtschaftlich in Zukunft stehen sollte.",405.0
223,gruene,"Gleichzeitig wollen wir neue Formate wie Reallabore und Experimentierräume fördern, in denen Zivilgesellschaft, Wissenschaft, Wirtschaft und Kommunen gemeinsam an Lösungen für Herausforderungen vor Ort arbeiten und forschen.",411.0
225,gruene,"Zentrale Grundlagen unserer Politik sind das Klimaabkommen von Paris sowie der Bericht des Weltklimarates zum 1,5-Grad-Limit, der verdeutlicht, dass jedes Zehntelgrad zählt, um das Überschreiten von relevanten Kipppunkten im Klimasystem zu verhindern.",501.0
226,gruene,"Es ist daher notwendig, auf den 1,5-Grad-Pfad zu kommen.",501.0
227,gruene,Dafür ist unmittelbares und substanzielles Handeln in den nächsten Jahren entscheidend.,501.0
228,gruene,"Doch aktuell lahmt der Ausbau der erneuerbaren Energien, der Kohleausstieg kommt zu spät, im Verkehrs- und Gebäudesektor geht es kaum voran.",501.0
229,gruene,"Gemäß der Klimaentscheidung des Bundesverfassungsgerichts, die auch auf den Sachverständigenrat für Umweltfragen verweist, müssen wir unsere Klimapolitik am Budgetansatz orientieren.",501.0
230,gruene,"Der Weltklimarat beziffert das globale CO2-Budget ab dem Jahr 2018 für das 1,5-Grad-Ziel mit einer 67-prozentigen Wahrscheinlichkeit der Zielerreichung auf 420 Gigatonnen CO2.",501.0
231,gruene,"Der Sachverständigenrat hat daraus ein verbleibendes nationales Kohlenstoffbudget von 6,6 Gigatonnen CO2 ab 2020 abgeleitet.",501.0
232,gruene,"Bei fortdauernden Emissionen auf heutigem Niveau wäre das deutsche CO2-Budget in weniger als neun Jahren verbraucht, bei einer linearen Reduktion rund um 2035.",501.0
233,gruene,Ein längerer Zeitverlauf zur Treibhausgasneutralität erfordert überproportionale Reduktionserfolge in den nächsten Jahren.,501.0
234,gruene,"Deswegen werden wir ein Klimaschutz-Sofortprogramm auf den Weg bringen, das in allen Sektoren sofort wirksame Maßnahmen anstößt, bestehende Ausbauhindernisse beseitigt, naheliegende Einsparmöglichkeiten umsetzt und auch die Klima-und Entwicklungspartnerschaften im Sinne des globalen Budgetansatzes stärkt.",501.0
235,gruene,"Wir werden das noch immer ungenügende Klimaschutzgesetz generationen- und budgetgerecht nachschärfen, jahres- und sektorenscharf ausbuchstabieren, die Rolle des Expertenrates für Klimafragen stärken und das deutsche Klimaziel 2030 auf mindestens minus 70 Prozent anheben.",501.0
236,gruene,"Unser Ziel ist es, 100 Prozent erneuerbare Energien bis 2035 zu erreichen.",501.0
237,gruene,So kann Deutschland in 20 Jahren klimaneutral werden.,501.0
239,gruene,Effektiver und sozial gerechter Klimaschutz muss sich auch ökonomisch lohnen.,501.0
240,gruene,"Derzeit sind die Kosten der Schäden, die durch den Ausstoß einer Tonne CO2 entstehen, nur sehr gering eingepreist.",416.2
241,gruene,Nach aktuellen Berechnungen des Umweltbundesamtes verursacht die Emission einer Tonne CO2 Schäden von rund 195 Euro.,416.2
242,gruene,"Unser Ziel ist eine Wirtschaft, in der die nachhaltigsten Produkte auch die günstigsten sind.",416.2
243,gruene,"Das wollen wir durch einen klugen Mix aus CO2-Preisen, Anreizen und Förderung sowie Ordnungsrecht und Abbau von umweltschädlichen Subventionen ändern.",416.2
244,gruene,"Wollte man die Klimaziele allein über die Bepreisung von CO2 erreichen, würde das unweigerlich zu erheblichen sozialen Unwuchten führen.",503.0
245,gruene,"Einige könnten sich rauskaufen, andere nicht mehr teilhaben.",503.0
246,gruene,Wir sehen in der CO2-Bepreisung also ein Instrument von vielen – und werden es wirksam und sozial gerecht einsetzen.,412.0
247,gruene,"Das EU-Emissionshandelssystem (ETS) ist im Lichte des neuen EU-Klimaziels für 2030 zu reformieren, um seine Lenkungswirkung endlich voll und ganz zu erfüllen.",501.0
248,gruene,"Mit einer deutlichen Reduktion von Emissionszertifikaten und der Löschung überschüssiger Zertifikate vom Markt erreichen wir einen CO2-Preis im Bereich Strom, Industrie und europäischem Luftverkehr, der dafür sorgt, dass erneuerbare Energien statt Kohle und Kerosin zum Einsatz kommen, die Industrie Planungssicherheit bekommt und einen Anreiz hat, in Dekarbonisierung und Technologieführerschaft zu investieren.",416.2
249,gruene,"Für die Bereiche Verkehr und Wärme wurde in Deutschland auf Druck der Klimabewegung und von uns Grünen zudem ein CO2-Preis eingeführt, dessen Lenkungswirkung aber weiter sozial gerecht verbessert werden muss.",412.0
250,gruene,Wir wollen die Erhöhung des CO2-Preises auf 60 Euro auf das Jahr 2023 vorziehen.,412.0
251,gruene,"Danach soll der CO2-Preis so ansteigen, dass er im Konzert mit den Fördermaßnahmen und ordnungsrechtlichen Vorgaben die Erreichung des neuen Klimaziels 2030 absichert.",412.0
252,gruene,Die Einnahmen aus dem nationalen CO2- Preis geben wir als Energiegeld pro Kopf an die Menschen zurück.,503.0
254,gruene,"Damit Klimaschutz sozial gerecht ist, wollen wir die Einnahmen aus dem nationalen CO2-Preis direkt an die Bürger*innen zurückgeben.",503.0
255,gruene,"Dazu streben wir neben der Senkung der EEG-Umlage ein Energiegeld an, das jede*r Bürger*in erhält.",504.0
256,gruene,"Über das Energiegeld geben wir alle zusätzlichen Einnahmen transparent an die Menschen zurück und entlasten sie direkt, indem sie eine Rückerstattung pro Kopf bekommen.",504.0
257,gruene,So wird klimafreundliches Verhalten belohnt,501.0
258,gruene,und es findet ein sozialer Ausgleich im System statt.,503.0
