,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
42,5,DIE LINKE,DIE LINKE,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme nicht zu,"Der Militärhaushalt der Bundesregierung ist in den letzten Jahren massiv gestiegen und beträgt derzeit 47 Milliarden Euro, dies entspricht mehr als 500 Euro aus Steuergeldern je Bürger*in. Die Steuermilliarden fehlen beim Ausbau des Gesundheitssystems, der sozialen Infrastruktur, Bildung und Klimaschutz. Wir rufen dazu auf, im kommenden Jahr in allen Staaten weltweit die Militärausgaben um 10 Prozent zu senken. "
43,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme nicht zu,"Anstelle der Erhöhung der Verteidigungsausgaben auf ein willkürliches Zwei-Prozent-Ziel der NATO muss es darum gehen, die Bundeswehr für ihren Auftrag bestmöglich auszustatten. Die vergangenen Jahre haben gezeigt, dass mehr Geld die Probleme der Bundeswehr nicht löst. Für eine verantwortungsvolle Sicherheitspolitik bedarf es einer Festlegung, was prioritär gebraucht wird, sowie einer ehrlichen Diskussion, was die Bundeswehr im Rahmen der Landes- und Bündnisverteidigung leisten kann und soll."
76,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme nicht zu,"Dass sich junge Leute politisch schon früh engagieren, sich für konkrete politische Ziele einsetzen, ist im Sinne unserer Demokratie eine sehr guteEntwicklung. Es hat sich aus unserer Sicht bewährt, dass Wahlrecht und Volljährigkeit miteinander verknüpft sind. Mit 18 Jahren wird jungen Menschen vom Gesetz unterstellt, dass sie in der Lage sind, die volle Verantwortung für ihr Leben zu übernehmen."
77,2,SPD,Sozialdemokratische Partei Deutschlands,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme zu,"Junge Menschen sind Profis in Fragen ihrer Zukunft! Unser Anspruch ist daher eine Politik, die nicht über ihre Köpfe hinweg diskutiert und entscheidet. Wir wollen echte Beteiligung ermöglichen. Jugendliche zeigen an vielen Stellen, dass sie politisch denken und für ihre Interessen zu handeln bereit sind. Daher ist es richtig, auch das Wahlalter auf 16 Jahre abzusenken."
78,3,AfD,Alternative für Deutschland,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme nicht zu,"Eine Herabsetzung des Wahlalters auf 16 lehnt die AfD ab. Aus gutem Grund sind junge Menschen vor dem 18. Lebensjahr von den meisten bürgerlichen Pflichten befreit. Zudem sind sie beschränkt geschäftsfähig. Dementsprechend sollten sie auch das vornehmste Recht eines Bürgers, das Wahlrecht, erst dann erhalten, wenn sie diese Pflichten gegenüber der Gemeinschaft erfüllen müssen. Es darf keine Rechte ohne Pflichten geben."
79,4,FDP,Freie Demokratische Partei,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme zu,"Wir Freie Demokraten fordern eine Absenkung des Wahlalters auf 16 Jahre für die Wahlen zum Deutschen Bundestag. Als Voraussetzung dafür ist die politische Bildung an allen Schulformen zu verstärken. Junge Menschen nehmen bereits in vielen Lebensbereichen Verantwortung wahr, werden aber von der politischen Teilhabe ausgeschlossen. Dabei sind sie diejenigen, die am längsten von politischen Entscheidungen beeinflusst werden. Das Wahlrecht ab 16 ist gelebte Generationengerechtigkeit."
80,5,DIE LINKE,DIE LINKE,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme zu,Junge Menschen müssen über ihre Zukunft mitentscheiden können. 
81,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,3,2,Wählen ab 16,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,stimme zu,"Wir setzen uns seit Jahren im Bundestag für ein aktives Wahlrecht ab 16 ein. Junge Menschen sollen ihre Zukunft mitgestalten, denn auch sie haben ein Recht darauf, dass Ihre Meinungen, Wünsche und Vorstellungen bei politischen Entscheidungen berücksichtigt werden."
114,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,stimme nicht zu,"Wir wollen den naturverträglichen Ausbau von Windenergie fördern. Dies schließt sowohl Windenergie an Land (onshore)und auf See (offshore) sowie das Repowering, die Erneuerung von Anlagen, mit ein."
115,2,SPD,Sozialdemokratische Partei Deutschlands,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,stimme nicht zu,"Um aus Kohle- und Atomstrom auszusteigen, brauchen wir dringend mehr Strom aus erneuerbaren Energien. Vor allem die Windkraft muss ausgebaut werden. Um eine höhere Akzeptanz der Windkraft vor Ort zu erreichen, werden wir die Kommunen und die Bürger*innen darin unterstützen, dass sie unmittelbar von der Energiewende profitieren: Wir stärken Mieterstrom und gemeinschaftliche Eigenversorgung, weiten kommunale Beteiligungsmodelle aus und legen nachhaltige Strom-Anleihen auf."
116,3,AfD,Alternative für Deutschland,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,stimme zu,"Gesicherte und günstige Energieversorgung ist Grundvoraussetzung für Wohlstand, Sicherheit und Gesundheit. Hierfür hat der Staat zu sorgen. Energiepolitik bedeutet, Rahmenbedingungen so zu setzen, dass die Energieversorgung gesichert, umweltfreundlich und kostengünstig im Rahmen des freien Marktes gewährleistet ist. Teure und knappe Energie lässt Industrien abwandern und senkt den Lebensstandard breiter Teile der Bevölkerung drastisch."
117,4,FDP,Freie Demokratische Partei,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,neutral,"Wir Freie Demokraten wollen erneuerbare Energien vollständig in den Wettbewerb überführen und die Förderung nach dem EEG beenden. Gesetzlich vorgegebene Ausbaupfade für einzelne Technologien und staatlich garantierte Abnahmepreise lehnen wir ab. Deutsche Stromkunden haben den Ausbau erneuerbarer Energien bereits mit über 200 Milliarden Euro gefördert. Um den Ausbau der Windenergie zu beschleunigen, müssen wir die Bürokratie beim Ausbau radikal vereinfachen. Das stärkt auch den Offshore-Bereich."
118,5,DIE LINKE,DIE LINKE,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,stimme nicht zu,"Der Ökostromanteil muss so schnell wie möglich auf 100 Prozent erhöht werden. DIE LINKE unterstützt eine regional ausgerichtete und in der Bevölkerung verankerte Energiewende, zum Beispiel Energiegenossenschaften, Stadtwerke und Bioenergiedörfer. Investoren müssen verpflichtet werden, den Standortgemeinden eine Beteiligung an neuen Windkraftanlagen anzubieten. Die Kommunen werden dadurch zu Mitbesitzern und erhalten einen Anteil an den Erträgen der Windenergie."
119,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,4,5,Windenergie,Die Förderung von Windenergie soll beendet werden.,stimme nicht zu,"Erste Wind- und große Solaranlagen benötigen zwar bereits heute keine EEG-Zahlungen mehr. Auch der Trend zu langfristigen Lieferverträgen zwischen Ökostromerzeugern und Verbraucher*innen verstärkt das. Wir wollen diese Entwicklung unterstützen und das EEG weiterentwickeln. Ein verlässlicher Förderrahmen durch das EEG ist dennoch weiterhin notwendig, denn den für die Klimaziele notwendigen Ausbau von Erneuerbaren erreichen wir nicht nur mit marktbasiertem Ausbau. "
152,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",neutral,"Wir haben die Mietpreisbremse eingeführt und verlängert, sodass Mietenerhöhungen in gefragten Gegenden begrenzt werden. Wir setzen darüber hinaus nicht auf rechtlich fragwürdige und ungeeignete Eingriffe, wie den Mietendeckel, sondern packen das Problem an der Wurzel und steigern das Wohnungsangebot, damit die Mieten stabil bleiben. Wo Wohnraum teuer ist oder fehlt, wie in vielen Großstädten, heißt unsere Devise: mehr, schnell, modern und bezahlbar bauen."
153,2,SPD,Sozialdemokratische Partei Deutschlands,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",stimme zu,"Die Mieterinnen und Mieter brauchen eine Atempause bei der Mietenentwicklung. Deshalb wollen wir ein Mietenmoratorium einführen. Das heißt, dass die Mieten dort, wo die Wohnungsmärkte angespannt sind, zeitlich befristet nur im Rahmen der Inflationsrate erhöht werden dürfen."
154,3,AfD,Alternative für Deutschland,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",stimme nicht zu,Die AfD steht für ein ausgewogenes Mietrecht und lehnt staatliche Überregulierungen sowie Investitionshemmnisse wie die Mietpreisbremse oder den Mietendeckel ab.
155,4,FDP,Freie Demokratische Partei,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",stimme nicht zu,"Nur wenn wir mehr, schneller und günstiger bauen, wird Wohnen wieder bezahlbar. Daher wollen wir Freie Demokraten das Baurecht vereinfachen und Bauland schneller ausweisen. Mietpreisbremse und Mietendeckel schaffen hingegen keine neuen Wohnungen und sorgen sogar für eine Verknappung des Angebots."
156,5,DIE LINKE,DIE LINKE,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",stimme zu,"Wir wollen im gesamten Bundesgebiet ermöglichen, die Mieten zu deckeln. Unser Ziel: die Explosion der Mieten nicht nur bremsen, sondern beenden und rückgängig machen. Besonders hohe Mieten müssen abgesenkt werden. Als Sofortmaßnahme fordern wir überall dort, wo der Wohnungsmarkt angespannten ist, einen Mietenstopp. Die Mieten werden eingefroren.Jedes Jahr schaffen wir mindestens 250 000 zusätzliche Wohnungen, die dauerhaft bezahlbar, also in Sozialbindung, bleiben. "
157,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,5,4,Begrenzung für Mieterhöhungen,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",stimme zu,"Ein bundeseinheitliches Gesamtkonzept soll u.a. mit einem Bundesgesetz gewährleisten, dass regionale Mietobergrenzen im Bestand ermöglicht werden und die Mietpreisbremse entfristet und deutlich nachgeschärft wird. Unnötige Ausnahmen bspw. beim möblierten Wohnen schaffen wir ab. Reguläre Mieterhöhungen sollen auf 2,5 Prozent im Jahr innerhalb des Mietspiegels begrenzt werden. Dazu wollen wir qualifizierte Mietspiegel stärken, verbreiten und rechtssicher ausgestalten."
190,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme zu,"Durch Aussetzung des Patentschutzes bei Covid-Impfstoffen würde die Menge an Dosen nicht steigen. Die Produktion ist komplex und kann nicht mit der Weitergabe eines Patents gelöst werden. Der Patenschutz hat mitgeholfen, viel Kapital in die Entwicklung und Produktion zu lenken. Damit auch ärmere Regionen Impfstoff erhalten, haben reichere Länder die Initiative COVAX ins Leben gerufen, die bis Ende 2021 mindestens zwei Milliarden Impfstoffdosen bereitstellt."
191,2,SPD,Sozialdemokratische Partei Deutschlands,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme zu,"Wir setzen uns für einen weitreichenden weltweiten Ausbau der Produktionskapazitäten der Impfstoffe ein. Die Unternehmen müssen in breiter Kooperation durch Wissens- und Technologietransfer untereinander sowie durch Vergabe von grundsätzlich weiterhin geschützten Lizenzen eine internationale Impfstoffproduktion vorantreiben. Wo die freiwillige Lizenzierung nicht ausreicht, ist von der bestehenden Möglichkeit der Zwangslizenzierung Gebrauch zu machen."
192,3,AfD,Alternative für Deutschland,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme zu,"Ohne Patente keine Innovationen - und wie wichtig die sind, zeigt sich gerade beim Thema Corona. Die Impfstoff-Engpässe sind auch keineswegs durch die Patente bedingt, sondern schlicht durch die begrenzten Produktionskapazitäten. Eine Patentaufhebung kann ich hier gar nicht helfen, sie kann nur schaden."
193,4,FDP,Freie Demokratische Partei,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme zu,"Für uns Freie Demokraten steht fest: Eine Aufhebung des Patentschutzes für Corona-Impfstoffe beseitigt die weltweite Knappheit an Impfstoff nicht. Wer in den Schutz geistigen Eigentums eingreift, der schwächt die Entwicklung künftiger, modifizierter Impfstoffe und Medikamente. Damit private Investitionen mobilisiert werden, muss geistiges Eigentum im Patentrecht strikt geschützt bleiben, auch bei Arzneimitteln für seltene Erkrankungen."
194,5,DIE LINKE,DIE LINKE,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme nicht zu,"Was mit öffentlichen Geldern gefördert wurde, soll auch allgemein und nach sozialen Kriterien zur Verfügung stehen. Impfstoffe, die auf mit öffentlichen Mitteln geförderter Forschung aufbauen, sollen mit sozialverträglicher Patentverwertung (Equitable Licensing) an ärmere Länder und Generikaproduzenten abgegeben werden."
195,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,6,4,Patentschutz für Impfstoffe,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,stimme nicht zu,"Wo freiwillige Produktionspartnerschaften nicht ausreichen, unterstützen wir Anträge auf Erteilung von verpflichtenden Lizenzen gegen Entschädigungen für COVID-Impfstoffe und bringen uns in diesem Sinne bei der WTO für eine temporäre Aussetzung für Patente für Technologien zur Bekämpfung von Covid-19 in die Verhandlungen ein."
228,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,stimme nicht zu,"Wir stehen zum vereinbarten Kohle-Kompromiss. Die Braunkohle-Regionen, die betroffenen Energieunternehmen, die Zulieferer und vor allem die Beschäftigten können sich auf uns verlassen. Der Kohle-Kompromiss definiert Höchstlaufzeiten, nicht Mindestlaufzeiten. Insofern schließt er nicht aus, dass Kohlekraftwerke auch früher vom Netz gehen können."
229,2,SPD,Sozialdemokratische Partei Deutschlands,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,stimme zu,"Den Klimawandel zu stoppen ist eine Menschheitsaufgabe. Maßstab ist das Pariser Klimaabkommen. Mit dem von der SPD durchgesetzten Klimaschutzgesetz wird das Abkommen konkret. Der Ausstieg aus der Atomenergie erfolgt Ende nächsten Jahres.  Auch der Kohleausstieg ist beschlossene Sache. Je schneller der Ausbau der Stromerzeugung aus erneuerbaren Energien erfolgt und je schneller die nötigen Stromleitungen und Verteilnetze gebaut werden, desto eher kann auf fossile Energieträger verzichtet werden."
230,3,AfD,Alternative für Deutschland,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,stimme nicht zu,"Gesicherte und günstige Energieversorgung ist eine der Voraussetzungen von Wohlstand, Sicherheit und Gesundheit. Eine komplette Umstellung unserer Versorgung auf volatile ""erneuerbare"" Energielieferanten ist unökologisch und unrealistisch - und daher abzulehnen. Die AfD setzt sich für die Verstromung von Braun- und Steinkohle als grundlast- und regelfähige Energiequellen ein. Deutschland hat die weltweit saubersten und effizientesten Kraftwerke. Daher lehnen wir die Ausstiegspläne insgesamt ab."
231,4,FDP,Freie Demokratische Partei,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,neutral,Der Kohleausstieg ist über das marktwirtschaftliche Instrument des europäischen Emissionshandels längst angelegt - und zwar europaweit. Der Emissionshandel sollte als zentrales Klimaschutzinstrument gestärkt und auf alle Sektoren ausgeweitet werden. So können wir die Umstellung hin zu einer klimaneutralen Energieversorgung ganz ohne Steuergelder und technologische Vorgaben voranbringen.
232,5,DIE LINKE,DIE LINKE,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,stimme zu,"Der Kohleausstieg 2038 kommt zu spät für das Ziel, die Erderwärmung auf höchstens 1,5 Grad zu begrenzen. Der schrittweise Kohleausstieg muss sofort beginnen. Spätestens 2030 muss der letzte Kohlemeiler vom Netz. Für den Braunkohleabbau dürfen keine weiteren Dörfer abgebaggert werden, der Hambacher Forst darf nicht weiter zerstört werden. Der Umbau der Regionen darf nicht zu Lasten der Beschäftigten oder über die Köpfe der ortsansässigen Bevölkerung hinweg geschehen. "
233,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,7,5,Ausstieg aus der Kohleverstromung,Der für das Jahr 2038 geplante Ausstieg aus der Kohleverstromung soll vorgezogen werden.,stimme zu,"Wir wollen den Kohleausstieg bis 2030 vollenden. Nur so erreichen wir die Pariser Klimaziele und bringen Deutschland auf einen 1,5 Grad-Pfad. Für den schnelleren Ausstieg brauchen wir einen wirkungsvollen CO2-Preis, der die Klimaschäden der Kohleverstromung einpreist. Sollte dieser auf europäischer Ebene nicht schnell genug erreicht werden, setzen wir auf einen nationalen CO2-Mindestpreis. Es bedarf außerdem einer massiven Ausbauoffensive der Erneuerbaren im Sinne der Versorgungssicherheit."
266,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme nicht zu,"Eine Versicherung aller Erwerbstätigen in der gesetzlichen Rentenversicherung würde die finanziellen Herausforderungen durch die demografische Entwicklung nur in die Zukunft verschieben und nicht lösen. Denn alle Menschen, die in die Rentenversicherung einzahlen, erwerben Ansprüche, die später als Rente ausbezahlt werden müssen. Wir wollen diegesetzliche Rentenversicherung zukunftssicher und generationengerecht aufstellen."
267,2,SPD,Sozialdemokratische Partei Deutschlands,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme zu,"Wir werden uns für den Ausbau der gesetzlichen Rentenversicherung zu einer Erwerbstätigenversicherung einsetzen, in der alle Erwerbstätigen inkl. Berufspolitiker*innen, Beamt*innen und Selbständige rentenversichert sind."
268,3,AfD,Alternative für Deutschland,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme zu,"Um die Leistungsfähigkeit der GRV aufrecht zu erhalten, muss ein Großteil der Erwerbstätigen auch zu ihrer Finanzierung beitragen. Sofern sie keine private Altersvorsorge abgeschlossen haben, sollen auch Selbstständige in die GRV aufgenommen werden. Auch die Verbeamtung wollen wir auf hoheitliche Aufgaben beschränken, wie z.B. bei Bundeswehr, Zoll, Polizei, Finanzverwaltung und Justiz. Auf diese Weise wird künftig ein Großteil der Staatsbediensteten in die GRV einzahlen."
269,4,FDP,Freie Demokratische Partei,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme nicht zu,"Wir Freie Demokraten wollen die Altersvorsorge nach dem Baukastenprinzip organisieren. So können Bausteine aus gesetzlicher, betrieblicher und privater Altersvorsorge je nach Lebenslage flexibel kombiniert und an moderne Lebensläufe angepasst werden. Selbstständige sollten bei der Altersvorsorge maximale Wahlfreiheit haben. Auch die Form der Vorsorge soll frei wählbar sein. Der Zugang zur gesamten geförderten privaten Altersvorsorge muss dabei künftig für alle Erwerbstätigen offen sein. "
270,5,DIE LINKE,DIE LINKE,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme zu,"Wenn alle Erwerbstätigen Beiträge in die gesetzliche Rentenversicherung zahlen, schützt das auch bisher nicht versicherte Selbständige. Die gesetzliche Rentenkasse wird so stabil und solidarisch. Das Rentenniveau kann wieder auf 53 % steigen. Wer heute 1.048 Euro Rente hat, hätte dann 1.148 Euro. Die privaten Rentenversicherungen überführen wir, ohne dass Ansprüche verloren gehen. "
271,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,8,5,Gesetzliche Rentenversicherung,Alle Erwerbstätigen sollen in der gesetzlichen Rentenversicherung versichert sein müssen.,stimme zu,"Die gesetzliche Rentenversicherung wollen wir schrittweise zu einer Bürgerversicherung weiterentwickeln, in die perspektivisch alle einbezogen werden und so alle gut abgesichert sind. In einem ersten Schritt sollen Abgeordnete und nicht anderweitig abgesicherte Selbstständige in die gesetzliche Rentenversicherung aufgenommen werden. Dabei werden bereits bestehende private Altersvorsorgeformen sowie Altersgrenzen berücksichtigt."
304,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,9,6,Abschaffung des Familiennachzugs,Das Recht anerkannter Flüchtlinge auf Familiennachzug soll abgeschafft werden.,stimme nicht zu,"Wir wollen, dass die Zahl der Flüchtlinge, die zu uns kommen, dauerhaft niedrig bleibt. Grundsätzlich gilt, dass anerkannte Flüchtlinge einen Anspruch auf den Nachzug ihrer Kernfamilie haben. Eine Ausweitung des Familiennachzugs über die heute bestehenden Regelungen hinaus lehnen wir ab."
